timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775334323800,33,GET /roles,200,,Thread Group 1-20,text,true,,174,154,3,3,http://localhost:8080/roles,33,0,0
1775334323804,29,GET /empleados,200,,Thread Group 1-21,text,true,,174,158,3,3,http://localhost:8080/empleados,29,0,0
1775334323800,33,GET /gateways,200,,Thread Group 1-19,text,true,,174,167,3,3,http://localhost:8080/gateways/proceso/1,33,0,0
1775334323833,39,GET /gateways,200,,Thread Group 1-20,text,true,,174,167,3,3,http://localhost:8080/gateways/proceso/1,39,0,0
1775334323833,39,GET /arcos,200,,Thread Group 1-19,text,true,,174,164,3,3,http://localhost:8080/arcos/proceso/1,39,0,0
1775334323833,39,GET /roles,200,,Thread Group 1-21,text,true,,174,154,3,3,http://localhost:8080/roles,39,0,0
1775334323872,37,GET /arcos,200,,Thread Group 1-20,text,true,,174,164,3,3,http://localhost:8080/arcos/proceso/1,36,0,0
1775334323872,37,GET /gateways,200,,Thread Group 1-21,text,true,,174,167,3,3,http://localhost:8080/gateways/proceso/1,36,0,0
1775334323909,26,GET /arcos,200,,Thread Group 1-21,text,true,,174,164,3,3,http://localhost:8080/arcos/proceso/1,26,0,0
1775334323872,96,POST /empresas,200,,Thread Group 1-19,text,true,,235,302,3,3,http://localhost:8080/empresas,96,0,0
1775334323909,92,POST /empresas,200,,Thread Group 1-20,text,true,,235,302,2,2,http://localhost:8080/empresas,91,0,0
1775334323935,87,POST /empresas,200,,Thread Group 1-21,text,true,,235,302,2,2,http://localhost:8080/empresas,87,0,0
1775334324001,35,GET /empresas,200,,Thread Group 1-20,text,true,,50903,157,2,2,http://localhost:8080/empresas,35,0,0
1775334324036,24,GET /empleados,200,,Thread Group 1-20,text,true,,174,158,2,2,http://localhost:8080/empleados,24,0,0
1775334324022,39,GET /empresas,200,,Thread Group 1-21,text,true,,50966,157,2,2,http://localhost:8080/empresas,39,0,0
1775334324061,32,GET /roles,200,,Thread Group 1-20,text,true,,174,154,3,3,http://localhost:8080/roles,32,0,0
1775334324061,32,GET /empleados,200,,Thread Group 1-21,text,true,,174,158,3,3,http://localhost:8080/empleados,32,0,0
1775334324094,21,GET /roles,200,,Thread Group 1-21,text,true,,174,154,3,3,http://localhost:8080/roles,21,0,0
1775334324094,21,GET /gateways,200,,Thread Group 1-20,text,true,,174,167,3,3,http://localhost:8080/gateways/proceso/1,21,0,0
1775334324081,37,GET /empresas,200,,Thread Group 1-22,text,true,,50966,157,3,3,http://localhost:8080/empresas,36,0,1
1775334324115,35,GET /gateways,200,,Thread Group 1-21,text,true,,174,167,3,3,http://localhost:8080/gateways/proceso/1,35,0,0
1775334324118,32,GET /empleados,200,,Thread Group 1-22,text,true,,174,158,3,3,http://localhost:8080/empleados,32,0,0
1775334324115,35,GET /arcos,200,,Thread Group 1-20,text,true,,174,164,3,3,http://localhost:8080/arcos/proceso/1,35,0,0
1775334324150,32,GET /arcos,200,,Thread Group 1-21,text,true,,174,164,3,3,http://localhost:8080/arcos/proceso/1,32,0,0
1775334324150,32,GET /roles,200,,Thread Group 1-22,text,true,,174,154,3,3,http://localhost:8080/roles,32,0,0
1775334324183,36,GET /gateways,200,,Thread Group 1-22,text,true,,174,167,3,3,http://localhost:8080/gateways/proceso/1,36,0,0
